280598 function calls (279471 primitive calls) in 2.500 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 tokenize.py:178(Untokenizer)
        1    0.000    0.000    0.000    0.000 _utils.py:9(DaysOfWeek)
        1    0.000    0.000    0.000    0.000 __init__.py:881(FileHandler)
        1    0.000    0.000    0.000    0.000 lists.py:199(UnicodeMixin)
        1    0.000    0.000    0.000    0.000 __init__.py:24(Str)
        1    0.000    0.000    0.000    0.000 threading.py:422(_Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:787(_set_ident)
        1    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 tokenize.py:145(TokenError)
        2    0.000    0.000    0.000    0.000 lists.py:351(values)
        1    0.000    0.000    0.000    0.000 lists.py:278(fileName)
        1    0.000    0.000    0.000    0.000 __init__.py:1671(NullHandler)
        1    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 tokenize.py:147(StopTokenizing)
        1    0.000    0.000    0.000    0.000 CooperativeClass.py:11(_Cooperative)
        1    0.000    0.000    0.000    0.000 __init__.py:390(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:299(_is_owned)
        1    0.000    0.000    0.000    0.000 __init__.py:494(BufferingFormatter)
        2    0.000    0.000    0.000    0.000 {callable}
        1    0.000    0.000    0.000    0.000 __init__.py:945(PlaceHolder)
        4    0.000    0.000    0.000    0.000 Enum.py:80(<genexpr>)
        1    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
        1    0.000    0.000    0.000    0.000 threading.py:1056(_Timer)
        1    0.000    0.000    0.000    0.000 lists.py:357(caseless)
        1    0.000    0.000    0.000    0.000 lists.py:435(HashedOrderedList)
        1    0.000    0.000    0.000    0.000 __init__.py:997(__init__)
        1    0.000    0.000    0.000    0.000 lists.py:387(HashedLists2)
        1    0.000    0.000    0.000    0.000 lists.py:423(HashedFuzzyLists2)
        8    0.000    0.000    0.000    0.000 _utils.py:478(_formatTimeStr)
        1    0.000    0.000    0.000    0.000 lists.py:406(HashedFuzzyLists)
        1    0.000    0.000    0.000    0.000 lists.py:396(HashedUniqueLists)
        1    0.000    0.000    0.000    0.000 threading.py:1086(_MainThread)
        1    0.000    0.000    0.000    0.000 __init__.py:1369(RootLogger)
        2    0.000    0.000    0.000    0.000 {thread.get_ident}
        1    0.000    0.000    0.000    0.000 Enum.py:289(Enum)
        1    0.000    0.000    0.000    0.000 _utils.py:18(FileFolderSearchOptions)
        1    0.000    0.000    0.000    0.000 CooperativeClass.py:23(Cooperative)
        1    0.000    0.000    0.000    0.000 threading.py:1126(_DummyThread)
        1    0.000    0.000    0.000    0.000 inspect.py:630(EndOfBlock)
        1    0.000    0.000    0.000    0.000 lists.py:419(HashedFuzzySmartLists)
        1    0.000    0.000    0.000    0.000 inspect.py:632(BlockFinder)
        1    0.000    0.000    0.000    0.000 _utils.py:505(formatSalesForceDateTimeStr)
        1    0.000    0.000    0.000    0.000 Enum.py:134(EnumLazyMetaClass)
        1    0.000    0.000    0.000    0.000 _utils.py:24(DeCamelCaseMethods)
        1    0.000    0.000    0.000    0.000 Enum.py:227(classname)
        1    0.000    0.000    0.000    0.000 Enum.py:292(EnumLazy)
        1    0.000    0.000    0.000    0.000 utils.py:12(Methods)
        1    0.000    0.000    0.000    0.000 threading.py:514(_BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 __init__.py:578(__init__)
        2    0.000    0.000    0.000    0.000 _utils.py:454(formatDate_MMDDYYYY_slashes)
        1    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
        1    0.000    0.000    0.000    0.000 Enum.py:234(parent)
        3    0.000    0.000    0.000    0.000 _utils.py:484(formatSalesForceTimeStr)
        1    0.000    0.000    0.000    0.000 _utils.py:499(formatSalesForceDateStr)
        1    0.000    0.000    0.000    0.000 threading.py:1095(_set_daemon)
        1    0.000    0.000    0.000    0.000 threading.py:63(_note)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


