Non-recursive (store_in_bucket) !!!

{"directory":{"downloads.vyperlogix.com":{"web":{"content":{"memcached":{"installers":{"windows":{"memcached-win32-1.4.4-14":{"memcached.exe":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/memcached.exe","pthreadGC2.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/pthreadGC2.dll","INSTALL":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/INSTALL","README":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/README","libgcc_s_sjlj-1.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/libgcc_s_sjlj-1.dll","mingwm10.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/mingwm10.dll"},"memcached-win64-1.4.4-14":{"README":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/README","pthreadGC2.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/pthreadGC2.dll","memcached.exe":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/memcached.exe","INSTALL":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/INSTALL","libgcc_s_sjlj-1.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/libgcc_s_sjlj-1.dll"}}}}}}}}}
         20621 function calls (20571 primitive calls) in 2.425 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:155(channel)
        2    0.000    0.000    0.000    0.000 __init__.py:157(fget)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:162(getSFTPClient)
        1    0.002    0.002    0.151    0.151 __init__.py:164(fget)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
       13    0.000    0.000    0.603    0.046 __init__.py:169(isdir)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        5    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        5    0.086    0.017    0.444    0.089 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:192(_DBWithCursor)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        1    0.000    0.000    0.200    0.200 __init__.py:205(manual_auth)
        9    0.000    0.000    0.000    0.000 __init__.py:210(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:215(c_longlong)
        9    0.000    0.000    0.000    0.000 __init__.py:219(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:219(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.001    0.001    0.001    0.001 __init__.py:227(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        2    0.000    0.000    0.000    0.000 __init__.py:242(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:245(EncodeError)
